ptb_status,variable,N,Missing,Mean,SD,Median,Q1,Q3,Min,Max
Overall,Age,500,0,28.05,6.159495008319678,28,23,33,15,47
Overall,FTB_count,500,0,0.844,1.2628751749143023,0,0,1,0,10
Overall,GA_delivery_weeks,500,0,38.48714285714283,2.70460967617702,39,38.10714285714282,39.71428571428578,19.14285714285711,41.71428571428573
Overall,abortion_count,500,0,0.758,1.1410697087208654,0,0,1,0,7
Overall,first_visit_week,500,0,20.147428571428534,1.233081290399534,20.142857142857125,19.28571428571419,21.03571428571426,17.714285714285705,25.85714285714282
Overall,last_visit_week,500,0,28.05828571428567,14.08547725213717,24.714285714285687,23.00000000000001,26.00000000000001,17.714285714285705,95.85714285714285
Overall,n_visits,500,0,2.086,0.9841448481622656,2,2,2,1,7
Overall,pregnancy_count,500,0,2.916,2.0032398607954467,2,1,4,0,13
Overall,prior_PTB_count,500,0,0.346,0.7037574504743779,0,0,1,0,5
Term,Age,453,0,27.922737306843267,6.193826466400546,28,23,33,15,47
Term,FTB_count,453,0,0.8631346578366446,1.270421110576659,0,0,1,0,10
Term,GA_delivery_weeks,453,0,39.108798486281906,1.0486248306146089,39.142857142857004,38.428571428571416,39.857142857142776,37.000000000000014,41.71428571428573
Term,abortion_count,453,0,0.7240618101545254,1.115565381349232,0,0,1,0,7
Term,first_visit_week,453,0,20.179754020813586,1.237412355664702,20.142857142857125,19.28571428571419,21.1428571428571,17.714285714285705,25.85714285714282
Term,last_visit_week,453,0,27.8546199936928,13.78631503823185,24.714285714285687,23.142857142857086,26.00000000000001,17.714285714285705,95.85714285714285
Term,n_visits,453,0,2.0706401766004414,0.9750646839773204,2,2,2,1,7
Term,pregnancy_count,453,0,2.869757174392936,1.984071344533081,2,1,4,0,13
Term,prior_PTB_count,453,0,0.304635761589404,0.6448575765454058,0,0,0,0,5
Preterm,Age,47,0,29.27659574468085,5.735860223797126,29,26,33,19,41
Preterm,FTB_count,47,0,0.6595744680851063,1.1846224080983496,0,0,1,0,5
Preterm,GA_delivery_weeks,47,0,32.49544072948325,5.297104653877882,34.999999999999986,31.357142857142797,36.14285714285712,19.14285714285711,36.85714285714282
Preterm,abortion_count,47,0,1.0851063829787233,1.332369370936808,1,0,1.5,0,6
Preterm,first_visit_week,47,0,19.835866261398138,1.157123197212119,19.85714285714281,18.857142857142797,20.571428571428516,17.714285714285705,22.714285714285698
Preterm,last_visit_week,47,0,30.021276595744638,16.742159131661857,24.28571428571418,22.571428571428505,26.785714285714256,18.000000000000018,94.85714285714283
Preterm,n_visits,47,0,2.234042553191489,1.0675605258769785,2,2,2,1,6
Preterm,pregnancy_count,47,0,3.3617021276595747,2.1510920574856818,3,2,4.5,1,10
Preterm,prior_PTB_count,47,0,0.7446808510638298,1.05228705594225,0,0,1,0,5
