variable,missing_n,total_n,missing_percent
CL,122,1043,11.697027804410356
EACG,122,1043,11.697027804410356
EACS,122,1043,11.697027804410356
ESDG,122,1043,11.697027804410356
ESDS,122,1043,11.697027804410356
Kappa,122,1043,11.697027804410356
Mu,122,1043,11.697027804410356
SWS,2,1043,0.19175455417066156
AC,0,1043,0
Age,0,1043,0
Ethnicity,0,1043,0
FTB_count,0,1043,0
GA,0,1043,0
GA_delivery,0,1043,0
GA_delivery_weeks,0,1043,0
GA_weeks,0,1043,0
Intercept,0,1043,0
Midband,0,1043,0
Outcome,0,1043,0
Participant_ID,0,1043,0
Slope,0,1043,0
Sonographer,0,1043,0
Transducer,0,1043,0
Visit_ID,0,1043,0
abortion_count,0,1043,0
anemia,0,1043,0
baby_sex,0,1043,0
blood_pressure,0,1043,0
diabetes,0,1043,0
drink_alcohol,0,1043,0
drugs_used,0,1043,0
high_cholesterol,0,1043,0
is_mptb,0,1043,0
last_pregnancy_outcome,0,1043,0
liver_disease,0,1043,0
lung_disease,0,1043,0
mPTB,0,1043,0
pregnancy_count,0,1043,0
prior_PTB,0,1043,0
prior_PTB_count,0,1043,0
prior_abortion,0,1043,0
ptb_status,0,1043,0
race,0,1043,0
smoke_cigarettes,0,1043,0
