source,GA_bin,GA_mid,k,n_rows,n_participants
Carlson,"[6,11)",8,10,4,4
Carlson,"[11,16)",13,10,15,14
Carlson,"[16,21)",18,10,24,24
QUS,"[16,21)",18,10,334,334
Carlson,"[21,26)",23,10,29,29
QUS,"[21,26)",23,10,416,354
QUS,"[26,31)",28,10,78,78
Carlson,"[31,36)",33,10,29,29
QUS,"[31,36)",33,10,10,10
Carlson,"[36,41)",38,10,25,25
QUS,"[41,46)",43,10,17,17
QUS,"[46,51)",48,10,18,18
QUS,"[51,56)",53,10,18,18
QUS,"[56,61)",58,10,2,2
QUS,"[61,66)",63,10,7,7
QUS,"[66,71)",68,10,9,9
QUS,"[71,76)",73,10,2,2
QUS,"[76,81)",78,10,10,10
QUS,"[81,86)",83,10,4,4
QUS,"[86,91)",88,10,2,2
QUS,"[91,96]",93,10,11,11
