tau,term,estimate
0.2,(Intercept),3.5837984287082256
0.2,ns1,-1.7633124236300848
0.2,ns2,-2.1367936622698247
0.2,ns3,-1.8852232101603088
0.2,ns4,-2.5501663927457776
0.2,ns5,-2.431755768540351
0.2,ns6,-0.4818652920972255
0.2,ns7,-1.0691148335550686
0.2,ns8,0.10695038325589126
0.2,ns9,-2.2489955160738444
0.2,ns10,-0.200809902671263
0.5,(Intercept),4.084468074036912
0.5,ns1,-1.7708811623174319
0.5,ns2,-2.2474487850589715
0.5,ns3,-1.9482929346694542
0.5,ns4,-2.8251638211783754
0.5,ns5,-2.6218118352633106
0.5,ns6,-0.14174208958983545
0.5,ns7,-0.9473726945070795
0.5,ns8,0.03233099853485707
0.5,ns9,-1.9099041997459967
0.5,ns10,-0.28297817031457656
0.8,(Intercept),4.508541473415485
0.8,ns1,-1.8091173024996203
0.8,ns2,-2.155148891495168
0.8,ns3,-2.148257084123522
0.8,ns4,-2.897952591381048
0.8,ns5,-2.485171103571055
0.8,ns6,-0.2513242658180854
0.8,ns7,-1.1529081300563464
0.8,ns8,-0.24225987763709322
0.8,ns9,-1.6372443962251066
0.8,ns10,-0.6611274284727325
