tau,term,estimate
0.2,(Intercept),1.2694980851300208
0.2,ns1,-0.5935351930682073
0.2,ns2,-0.8885688679815584
0.2,ns3,-0.6953042214605835
0.2,ns4,-1.1190677709578245
0.2,ns5,-1.092544564265912
0.2,ns6,-0.0972466270256018
0.2,ns7,-0.2513277020617993
0.2,ns8,0.1290637622666414
0.2,ns9,-0.683523738312623
0.2,ns10,-0.02408902256263668
0.5,(Intercept),1.4294751253759463
0.5,ns1,-0.5930709249401007
0.5,ns2,-0.8402475327390764
0.5,ns3,-0.676464231577323
0.5,ns4,-1.1959168284558654
0.5,ns5,-1.0791634697203352
0.5,ns6,-0.027074373607698324
0.5,ns7,-0.31474660447547115
0.5,ns8,0.03443752610110248
0.5,ns9,-0.5897250783227339
0.5,ns10,-0.0686388741512516
0.8,(Intercept),1.5520873385972964
0.8,ns1,-0.5423265049533612
0.8,ns2,-0.7191802407287898
0.8,ns3,-0.6766609242810535
0.8,ns4,-1.2376140660478456
0.8,ns5,-1.0618750866804347
0.8,ns6,-0.05978195621667923
0.8,ns7,-0.3963519760202489
0.8,ns8,-0.025966196620901116
0.8,ns9,-0.5347990911956034
0.8,ns10,-0.18192646442058555
