k_a,k_b,period,n_pairs,bias,sd_diff,loa_lower,loa_upper,median_abs_diff,q95_abs_diff
1,2,Prepartum,956,0.004649754184100433,0.1811280736285943,-0.3503612701279444,0.3596607784961452,0.08709749999999983,0.3512412499999997
1,2,Postpartum,124,0,0,0,0,0,0
1,3,Prepartum,956,0.009726359832635978,0.20585644557094954,-0.3937522734864251,0.41320499315169706,0.10180499999999992,0.4097750000000001
1,3,Postpartum,124,0,0,0,0,0,0
1,4,Prepartum,956,0.014262850418410055,0.23519786565840634,-0.4467249662720663,0.47525066710888647,0.11556624999999998,0.4775456250000001
1,4,Postpartum,124,0,0,0,0,0,0
1,5,Prepartum,956,0.01570722803347281,0.245767926209226,-0.4659979073366101,0.4974123634035557,0.12471499999999991,0.4884735
1,5,Postpartum,124,0,0,0,0,0,0
1,6,Prepartum,956,0.019072529637378013,0.2602165157762033,-0.49095184128398045,0.5290969005587365,0.13115,0.5151391666666654
1,6,Postpartum,124,0,0,0,0,0,0
1,7,Prepartum,956,0.020442077106993497,0.2618497805836188,-0.4927834928368993,0.5336676470508863,0.14156285714285488,0.5430039285714274
1,7,Postpartum,124,0,0,0,0,0,0
1,8,Prepartum,956,0.022043404811715493,0.27273745284688633,-0.5125220027681817,0.5566088123916128,0.14345062500000005,0.5572324999999998
1,8,Postpartum,124,0,0,0,0,0,0
1,9,Prepartum,956,0.022326711849139935,0.27672234309704535,-0.5200490806210689,0.5647025043193488,0.14415444444444503,0.5818613888888902
1,9,Postpartum,124,0,0,0,0,0,0
1,10,Prepartum,956,0.023980140835657828,0.28459778351243475,-0.5338315148487143,0.5817917965200299,0.14955600000000002,0.58416025
1,10,Postpartum,124,0,0,0,0,0,0
2,3,Prepartum,958,0.004773053235908122,0.09896443352858579,-0.18919723648012002,0.19874334295193627,0.05408499999999994,0.2097805000000007
2,3,Postpartum,124,0,0,0,0,0,0
2,4,Prepartum,958,0.009316882393876137,0.12953310788239644,-0.24456800905562087,0.2632017738433731,0.0695062500000001,0.28036412499999996
2,4,Postpartum,124,0,0,0,0,0,0
2,5,Prepartum,958,0.010773898747390393,0.1513323422003729,-0.2858374919653405,0.3073852894601212,0.08129750000000013,0.3173170999999999
2,5,Postpartum,124,0,0,0,0,0,0
2,6,Prepartum,958,0.013945880306193495,0.1672163177617381,-0.31379810250681317,0.34168986311920013,0.09130083333333017,0.3300812499999993
2,6,Postpartum,124,0,0,0,0,0,0
2,7,Prepartum,958,0.015306604781787504,0.17825714852819913,-0.33407740633348276,0.3646906158970578,0.10113821428571501,0.35718064285714
2,7,Postpartum,124,0,0,0,0,0,0
2,8,Prepartum,958,0.017008575902177157,0.19040989362191055,-0.3561948155967675,0.3902119674011218,0.1059881250000001,0.3804086249999995
2,8,Postpartum,124,0,0,0,0,0,0
2,9,Prepartum,958,0.01736052351542564,0.19926826660444125,-0.3732052790292792,0.4079263260601305,0.11103444444444488,0.39843800000000346
2,9,Postpartum,124,0,0,0,0,0,0
2,10,Prepartum,958,0.018999831448619782,0.20703456723430674,-0.3867879203306214,0.424787583227861,0.11838949999999993,0.41341234999999976
2,10,Postpartum,124,0,0,0,0,0,0
3,4,Prepartum,958,0.004543829157968015,0.07401193375949475,-0.14051956101064167,0.14960721932657772,0.04006500000000002,0.15202258333332982
3,4,Postpartum,124,0,0,0,0,0,0
3,5,Prepartum,958,0.00600084551148227,0.09812295371309697,-0.18632014376618777,0.19832183478915233,0.05155833333333504,0.20450396666666998
3,5,Postpartum,124,0,0,0,0,0,0
3,6,Prepartum,958,0.009172827070285373,0.12185282209321216,-0.22965870423241044,0.2480043583729812,0.06505166666666506,0.24674283333333014
3,6,Postpartum,124,0,0,0,0,0,0
