comparison_k,reference_k,comparison,period,n_pairs,bias,sd_diff,loa_lower,loa_upper,median_abs_diff,q95_abs_diff
1,10,k1 - k10,Prepartum,956,0.023980140835657828,0.28459778351243475,-0.5338315148487143,0.5817917965200299,0.14955600000000002,0.58416025
1,10,k1 - k10,Postpartum,124,0,0,0,0,0,0
2,10,k2 - k10,Prepartum,958,0.018999831448619782,0.20703456723430674,-0.3867879203306214,0.424787583227861,0.11838949999999993,0.41341234999999976
2,10,k2 - k10,Postpartum,124,0,0,0,0,0,0
3,10,k3 - k10,Prepartum,958,0.01422677821271166,0.17332547826039352,-0.3254911591776596,0.35394471560308294,0.08588233333333495,0.33479923333332995
3,10,k3 - k10,Postpartum,124,0,0,0,0,0,0
4,10,k4 - k10,Prepartum,958,0.009682949054743645,0.1447102406580466,-0.2739491226350277,0.293315020744515,0.07011147222222003,0.28269627500000005
4,10,k4 - k10,Postpartum,124,0,0,0,0,0,0
5,10,k5 - k10,Prepartum,958,0.008225932701229389,0.12352512057291282,-0.23388330362167972,0.2503351690241385,0.05913249999999992,0.24761069999999996
5,10,k5 - k10,Postpartum,124,0,0,0,0,0,0
6,10,k6 - k10,Prepartum,958,0.005053951142426287,0.09529422465159522,-0.18172272917470034,0.19183063145955292,0.048919833333330165,0.19340706666666957
6,10,k6 - k10,Postpartum,124,0,0,0,0,0,0
7,10,k7 - k10,Prepartum,958,0.0036932266668322773,0.07381753852044136,-0.14098914883323277,0.14837560216689732,0.036474134920635004,0.15819351428571438
7,10,k7 - k10,Postpartum,124,0,0,0,0,0,0
8,10,k8 - k10,Prepartum,958,0.001991255546442624,0.04895725377726995,-0.09396496185700648,0.09794747294989173,0.026446624999999724,0.10039454999999992
8,10,k8 - k10,Postpartum,124,0,0,0,0,0,0
9,10,k9 - k10,Prepartum,958,0.001639307933194142,0.029087257531373735,-0.05537171682829838,0.05865033269468666,0.01496172222222003,0.0634393277777774
9,10,k9 - k10,Postpartum,124,0,0,0,0,0,0
