comparison_k,reference_k,comparison,period,Outcome_label,n_pairs,bias,sd_diff,loa_lower,loa_upper,median_abs_diff,q95_abs_diff
1,10,k1 - k10,Prepartum,FTB,837,0.02301294288464091,0.2850688033322475,-0.5357219116465641,0.581747797415846,0.148744,0.5776233999999996
1,10,k1 - k10,Prepartum,sPTB,119,0.030783037348272632,0.2823614493448906,-0.522645403367713,0.5842114780642582,0.162261,0.6427839999999997
1,10,k1 - k10,Postpartum,FTB,100,0,0,0,0,0,0
1,10,k1 - k10,Postpartum,sPTB,24,0,0,0,0,0,0
2,10,k2 - k10,Prepartum,FTB,839,0.019777445868096915,0.20588881790455577,-0.38376463722483234,0.4233195289610262,0.11822100000000013,0.41024349999999987
2,10,k2 - k10,Prepartum,sPTB,119,0.013517323062558319,0.21575867952641703,-0.40936968880921903,0.43640433493433567,0.11952999999999991,0.42912049999999985
2,10,k2 - k10,Postpartum,FTB,100,0,0,0,0,0,0
2,10,k2 - k10,Postpartum,sPTB,24,0,0,0,0,0,0
3,10,k3 - k10,Prepartum,FTB,839,0.014811087107667875,0.1735774308946474,-0.325400677445841,0.35502285166117675,0.08518399999999993,0.32959773333333575
3,10,k3 - k10,Prepartum,sPTB,119,0.010107154995331283,0.1722093477664746,-0.3274231666269589,0.34763747661762145,0.09244999999999992,0.3616003666666671
3,10,k3 - k10,Postpartum,FTB,100,0,0,0,0,0,0
3,10,k3 - k10,Postpartum,sPTB,24,0,0,0,0,0,0
4,10,k4 - k10,Prepartum,FTB,839,0.009073145113230003,0.14394194817239028,-0.27305307330465495,0.2911993635311149,0.06962599999999997,0.28257034999999986
4,10,k4 - k10,Prepartum,sPTB,119,0.013982323062558314,0.1505728163155407,-0.2811403969159015,0.3091050430410181,0.07423000000000002,0.2712871499999997
4,10,k4 - k10,Postpartum,FTB,100,0,0,0,0,0,0
4,10,k4 - k10,Postpartum,sPTB,24,0,0,0,0,0,0
5,10,k5 - k10,Prepartum,FTB,839,0.008701621076678564,0.12435336538506876,-0.2350309750780562,0.25243421723141335,0.05920699999999979,0.2511235000000003
5,10,k5 - k10,Prepartum,sPTB,119,0.004872129785247388,0.11796950998185317,-0.22634810977918482,0.23609236934967961,0.05896200000000018,0.22801530000000006
5,10,k5 - k10,Postpartum,FTB,100,0,0,0,0,0,0
5,10,k5 - k10,Postpartum,sPTB,24,0,0,0,0,0,0
6,10,k6 - k10,Prepartum,FTB,839,0.005320850715137036,0.09539792984394763,-0.1816590917790003,0.1923007932092744,0.04905833333333032,0.1957019999999997
6,10,k6 - k10,Prepartum,sPTB,119,0.003172197012137901,0.09493907427626586,-0.1829083885693432,0.18925278259361897,0.04878133333333001,0.1889727666666701
6,10,k6 - k10,Postpartum,FTB,100,0,0,0,0,0,0
6,10,k6 - k10,Postpartum,sPTB,24,0,0,0,0,0,0
7,10,k7 - k10,Prepartum,FTB,839,0.003947970018162171,0.07390840086387765,-0.14091249567503802,0.14880843571136235,0.035909999999999886,0.15842665714285784
7,10,k7 - k10,Prepartum,sPTB,119,0.001897179004934961,0.07345861810502469,-0.14208171248091342,0.14587607049078335,0.04009799999999997,0.14283284126983908
7,10,k7 - k10,Postpartum,FTB,100,0,0,0,0,0,0
7,10,k7 - k10,Postpartum,sPTB,24,0,0,0,0,0,0
8,10,k8 - k10,Prepartum,FTB,839,0.0020547319654917718,0.04873508759113801,-0.09346603971313873,0.09757550364412228,0.02701124999999993,0.10034419999999984
8,10,k8 - k10,Prepartum,sPTB,119,0.0015437201213818299,0.05070531293181238,-0.09783869322497044,0.1009261334677341,0.02414699999999992,0.10075004999999987
8,10,k8 - k10,Postpartum,FTB,100,0,0,0,0,0,0
8,10,k8 - k10,Postpartum,sPTB,24,0,0,0,0,0,0
9,10,k9 - k10,Prepartum,FTB,839,0.0019698834591444407,0.029068260992687577,-0.0550039080865232,0.05894367500481209,0.015074333333330081,0.06226641111111428
9,10,k9 - k10,Prepartum,sPTB,119,-6.913884220352761e-4,0.029237459955676014,-0.057996809935160265,0.05661403309108971,0.014767777777779934,0.06639336666667091
9,10,k9 - k10,Postpartum,FTB,100,0,0,0,0,0,0
9,10,k9 - k10,Postpartum,sPTB,24,0,0,0,0,0,0
