k,n_obs,closest_pre_delivery_weeks,closest_post_delivery_weeks,minimum_abs_time_to_delivery_weeks,has_delivery_measurement
1,1080,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
2,1082,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
3,1082,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
4,1082,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
5,1082,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
6,1082,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
7,1082,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
8,1082,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
9,1082,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
10,1082,-0.14285714285719564,5.000000000000078,0.14285714285719564,FALSE
