k,Outcome_group,n_obs,n_subjects,time_to_delivery_min_weeks,time_to_delivery_max_weeks,closest_pre_delivery_weeks,closest_post_delivery_weeks,sws_min,sws_q10,sws_q25,sws_median,sws_mean,sws_q75,sws_q90,sws_max,observed_min_sws,observed_min_time_min_weeks,observed_min_time_max_weeks,observed_min_visit_ids,n_min_rows,example_participant_ids,period,minimum_median_bin_left_weeks,minimum_median_bin_right_weeks,minimum_median_bin_mid_weeks,minimum_median_bin,minimum_bin_n_obs,minimum_bin_n_subjects,minimum_bin_sws_min,minimum_bin_sws_q25,minimum_bin_sws_median,minimum_bin_sws_mean,minimum_bin_sws_q75,minimum_bin_sws_max
1,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.19942,1.387184,1.7361875,2.432845,2.597841638297872,3.3557782499999997,4.0744530999999995,4.901587,1.19942,-9.000000000000007,-9.000000000000007,2,1,C504,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.29085,1.49265,1.54758,1.6342833333333333,1.84371,2.17019
1,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.19942,1.482626,1.88034,2.818272,2.8019983454545456,3.810398,4.1182666,4.468907,1.19942,-9.000000000000007,-9.000000000000007,2,1,C504,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.37686,1.45152,1.52618,1.60851,1.724335,1.92249
1,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.29085,1.376368,1.546275,1.96976,2.309928333333333,2.6726265,3.7230618000000004,4.901587,1.29085,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.29085,1.49265,1.54758,1.6342833333333333,1.84371,2.17019
2,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.34506,1.443101,1.752135,2.3609615,2.6028701489361703,3.3557782499999997,4.0744530999999995,4.901587,1.34506,-8.428571428571388,-8.428571428571388,2,1,C386,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.43192,1.46059,1.5809799999999998,1.7170441666666667,1.9082237499999999,2.27062
2,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.34506,1.473637,1.87065,2.818272,2.8104760727272726,3.810398,4.1182666,4.468907,1.34506,-8.428571428571388,-8.428571428571388,2,1,C386,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.448995,1.472185,1.495375,1.536985,1.5809799999999998,1.666585
2,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.369105,1.422284,1.64508,1.94041,2.3100925641025642,2.6613854999999997,3.7230618000000004,4.901587,1.369105,-9.857142857142783,-9.857142857142783,2,1,C467,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.369105,1.3873324999999999,1.6665,1.687421875,1.8405325,2.27729
3,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.35121333333333,1.462223333333331,1.705725,2.3484464999999997,2.5943935531914892,3.3557782499999997,4.0744530999999995,4.901587,1.35121333333333,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.48927333333333,1.51464666666667,1.5632350000000002,1.7112927777777784,1.8848883333333326,2.16145666666667
3,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.36637,1.5160546666666659,1.84381166666667,2.818272,2.803616890909091,3.810398,4.1182666,4.468907,1.36637,-8.428571428571388,-8.428571428571388,2,1,C386,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.48927333333333,1.5227499999999998,1.55622666666667,1.53858111111111,1.5632350000000002,1.57024333333333
3,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.35121333333333,1.439105999999998,1.655481666666665,1.90027333333333,2.2993349999999997,2.6613854999999997,3.7230618000000004,4.901587,1.35121333333333,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.41056,1.437526666666665,1.642695,1.6715670833333325,1.7842383333333325,2.17149333333333
4,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.363495,1.51749025,1.70382875,2.3315669999999997,2.593382329787234,3.3557782499999997,4.0744530999999995,4.901587,1.363495,-6.571428571428591,-6.571428571428591,2,1,C355,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.5168775,1.5218075,1.53786625,1.7050908333333332,1.846546875,2.17204
