k,Outcome_group,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_min,sws_q25,sws_median,sws_mean,sws_q75,sws_max
1,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.19942,1.4648050000000001,1.8044,1.7809836842105262,1.971605,2.55952
1,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.30008,1.46801,1.81445,1.8899938461538461,2.39146,2.62998
1,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.30937,1.41419,1.700945,1.7382733333333333,1.910795,2.41903
1,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.54785,1.66669,1.78553,1.78553,1.9043700000000001,2.02321
1,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.29085,1.49265,1.54758,1.6342833333333333,1.84371,2.17019
1,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
1,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
1,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
1,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.19942,1.646575,1.8044,1.8016,1.98332,2.47684
1,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.30008,1.423355,1.7522,1.7293142857142856,1.83683,2.53255
1,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.37686,1.45152,1.52618,1.60851,1.724335,1.92249
1,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
1,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
1,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
1,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.36084,1.3835425000000001,1.71524,1.7526362500000001,1.9459799999999998,2.55952
1,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.46801,1.6610925,2.181095,2.0774533333333336,2.4328600000000002,2.62998
1,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.30937,1.59254,1.87571,1.8680366666666666,2.14737,2.41903
1,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.54785,1.66669,1.78553,1.78553,1.9043700000000001,2.02321
1,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.29085,1.49265,1.54758,1.6342833333333333,1.84371,2.17019
1,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
1,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
2,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.34506,1.4701125,1.80724,1.7822631578947368,1.932135,2.48863
2,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.386815,1.459145,1.750055,1.8668076923076922,2.37248,2.53211
2,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.43192,1.46059,1.5809799999999998,1.7170441666666667,1.9082237499999999,2.27062
2,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.640105,1.685295,1.7304849999999998,1.7304849999999998,1.7756750000000001,1.820865
