k,Visit_ID,period,n_obs,n_subjects,time_to_delivery_min_weeks,time_to_delivery_max_weeks,sws_q25,sws_median,sws_mean,sws_q75
1,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.6878675,2.100995,2.246295303030303,2.5964600000000004
1,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.54497,1.93076,2.058664528301887,2.44666
1,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
1,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
1,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
1,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
1,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
2,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.73582625,2.1199899999999996,2.229843787878788,2.47802375
2,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.610985,1.94041,2.0403849056603773,2.33543
2,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
2,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
2,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
2,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
2,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
3,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.77366083333333,2.1038050000000004,2.2358115151515148,2.553451666666665
3,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.54187,1.92372,2.0252966037735853,2.32385666666667
3,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
3,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
3,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
3,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
3,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
4,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.803006875,2.1182862499999997,2.24336125,2.553038125
4,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.538095,1.946705,2.024595896226415,2.262625
4,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
4,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
4,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
4,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
4,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
